customer_id,age,income_bracket,credit_band,region,segment,tenure_years,join_date
1,56,200k+,Good,South,Affluent,0.5,2025-12-31
2,55,125k-200k,Fair,West,Affluent,6.0,2020-07-01
3,31,125k-200k,Excellent,Northeast,Affluent,5.0,2021-07-01
4,41,40k-75k,Excellent,West,Mass Market,3.6,2022-11-25
5,49,75k-125k,Poor,Midwest,Mass Market,3.8,2022-09-13
6,52,<40k,Fair,West,Mass Market,3.5,2022-12-31
7,52,125k-200k,Fair,South,Mass Market,7.3,2019-03-14
8,47,40k-75k,Excellent,South,Mass Market,6.2,2020-04-19
9,52,125k-200k,Fair,West,Mass Market,0.2,2026-04-19
10,37,<40k,Excellent,South,Mass Market,2.2,2024-04-19
11,56,125k-200k,Good,South,Mass Market,8.3,2018-03-14
12,54,40k-75k,Good,South,Mass Market,0.2,2026-04-19
13,27,<40k,Good,West,Mass Market,1.8,2024-09-12
14,38,75k-125k,Good,Midwest,Mass Market,4.1,2022-05-26
15,35,<40k,Excellent,West,Mass Market,0.6,2025-11-24
16,44,75k-125k,Fair,South,Mass Market,1.0,2025-07-01
17,38,40k-75k,Fair,West,Mass Market,2.9,2023-08-07
18,49,40k-75k,Excellent,Northeast,Mass Market,17.0,2009-07-01
19,31,75k-125k,Good,Midwest,Private Banking,2.1,2024-05-25
20,49,40k-75k,Fair,West,Mass Market,5.3,2021-03-14
21,47,125k-200k,Good,Northeast,Affluent,0.9,2025-08-07
22,46,40k-75k,Good,South,Mass Market,5.0,2021-07-01
23,28,200k+,Poor,West,Mass Market,4.4,2022-02-05
24,41,75k-125k,Good,South,Mass Market,28.0,1998-07-01
25,81,125k-200k,Poor,South,Affluent,8.9,2017-08-07
26,38,<40k,Fair,Midwest,Mass Market,3.4,2023-02-06
27,22,75k-125k,Excellent,Northeast,Affluent,15.3,2011-03-14
28,28,125k-200k,Excellent,South,Affluent,1.6,2024-11-24
29,54,200k+,Excellent,South,Mass Market,4.2,2022-04-19
30,35,<40k,Fair,Midwest,Mass Market,1.7,2024-10-19
31,46,125k-200k,Excellent,Northeast,Mass Market,7.8,2018-09-13
32,46,40k-75k,Fair,West,Mass Market,15.5,2010-12-31
33,46,40k-75k,Good,Northeast,Mass Market,13.4,2013-02-05
34,29,200k+,Excellent,Northeast,Affluent,1.4,2025-02-05
35,62,200k+,Good,West,Private Banking,0.8,2025-09-12
36,28,125k-200k,Good,Northeast,Mass Market,1.6,2024-11-24
37,44,200k+,Good,Northeast,Mass Market,1.8,2024-09-12
38,50,40k-75k,Good,Midwest,Mass Market,6.3,2020-03-13
39,46,75k-125k,Poor,South,Affluent,2.4,2024-02-06
40,40,200k+,Good,Midwest,Private Banking,2.2,2024-04-19
41,34,40k-75k,Poor,Midwest,Mass Market,3.5,2022-12-31
42,72,40k-75k,Excellent,South,Mass Market,5.6,2020-11-24
43,21,40k-75k,Good,Midwest,Mass Market,14.7,2011-10-19
44,39,200k+,Good,Northeast,Affluent,0.4,2026-02-05
45,54,40k-75k,Fair,South,Mass Market,1.7,2024-10-19
46,40,75k-125k,Poor,Northeast,Mass Market,0.2,2026-04-19
47,48,125k-200k,Fair,West,Mass Market,1.0,2025-07-01
48,80,75k-125k,Fair,West,Mass Market,0.7,2025-10-19
