deposit_id,customer_id,product_type,balance,opened_date
1,1,Checking,2881.8,2026-01-02
2,1,Savings,13235.08,2026-06-06
3,2,Checking,10300.51,2025-10-17
4,3,Checking,13695.61,2024-02-02
5,5,CD,32587.35,2023-04-27
6,7,Savings,9767.57,2022-11-15
7,7,CD,6630.62,2024-01-16
8,8,Savings,13966.06,2024-08-12
9,8,CD,40535.55,2024-02-12
10,9,Checking,4768.27,2026-06-10
11,9,Savings,5869.89,2026-06-20
12,10,CD,15833.05,2024-11-02
13,10,Savings,9464.7,2025-05-07
14,11,CD,44123.98,2025-11-24
15,12,CD,19754.42,2026-04-23
16,14,CD,15936.87,2025-04-20
17,14,Savings,2063.21,2024-11-14
18,15,Savings,19948.47,2026-06-06
19,16,CD,17017.86,2026-06-27
20,18,CD,4152.01,2018-01-11
21,19,CD,68672.55,2025-07-16
22,20,CD,14418.84,2022-05-23
23,21,Checking,16154.54,2025-08-30
24,21,Savings,6939.86,2026-05-13
25,22,CD,33030.91,2025-05-19
26,23,Checking,5813.66,2024-01-23
27,23,CD,55847.53,2022-10-06
28,24,Savings,6053.12,2020-09-11
29,24,CD,10586.0,2017-05-15
30,25,Checking,11108.6,2018-01-04
31,26,Checking,3245.1,2023-07-11
32,27,Checking,13724.18,2025-03-20
33,28,Savings,18712.48,2024-12-13
34,28,CD,13272.83,2026-01-19
35,29,Savings,13312.82,2024-10-11
36,29,CD,14013.14,2024-06-27
37,29,Checking,4363.38,2022-04-28
38,32,CD,12320.0,2019-04-10
39,32,Checking,15644.88,2019-11-09
40,34,Savings,27205.17,2026-01-03
41,34,Checking,35435.14,2026-02-16
42,34,CD,36948.59,2026-04-08
43,35,CD,159934.59,2025-09-16
44,39,CD,44786.8,2024-06-25
45,43,Checking,15068.96,2025-07-05
46,44,Savings,10133.76,2026-02-17
47,44,CD,50928.87,2026-03-31
48,49,CD,24393.24,2022-04-29
49,49,Savings,9556.82,2022-02-08
50,49,Checking,1557.13,2025-05-11
51,51,Savings,37077.5,2022-03-19
52,51,CD,98279.13,2021-01-29
53,52,CD,6380.66,2025-11-30
54,53,Savings,21469.02,2025-11-29
55,54,Savings,8526.04,2023-03-20
56,54,Checking,5762.06,2024-12-09
57,56,Checking,6286.5,2022-01-02
58,58,Savings,10884.54,2021-06-07
59,58,CD,33783.34,2016-12-14
60,59,Savings,17854.71,2019-09-29
61,59,Checking,6231.16,2022-01-30
62,62,CD,19137.0,2026-04-17
63,63,Checking,2107.59,2023-06-22
64,64,CD,34327.21,2020-05-16
65,67,Checking,14549.34,2026-04-20
66,68,Savings,18446.18,2026-02-06
67,68,CD,7614.09,2026-03-28
68,69,Checking,26994.21,2024-09-19
69,69,CD,13786.18,2024-03-21
70,70,Savings,89033.64,2023-01-14
71,71,Checking,6008.2,2025-07-21
72,71,Savings,1576.31,2026-01-10
73,72,Savings,23670.35,2026-06-10
74,73,Checking,3549.54,2024-01-20
75,75,Savings,22886.65,2025-09-23
76,78,Checking,31784.44,2025-01-21
77,79,Checking,5146.28,2024-01-20
78,80,CD,20822.03,2026-06-19
79,80,Checking,7701.12,2026-06-03
80,82,Checking,5402.78,2023-06-18
81,83,CD,45451.47,2024-08-28
82,84,Checking,2331.56,2010-10-13
83,84,CD,30133.03,2011-01-24
84,84,Savings,4360.52,2013-10-09
85,85,Checking,3099.36,2021-10-25
86,86,Checking,11879.44,2024-08-05
87,86,CD,65073.97,2023-10-08
88,87,Savings,31479.77,2025-05-26
89,87,Checking,651.06,2024-11-20
