loan_id,customer_id,product_type,origination_date,principal_amount,interest_rate,term_months,risk_grade,current_balance,delinquency_bucket,status,months_on_book
1,1,Credit Card,2022-06-29,6451.71,0.2592,,B,4292.17,Current,Active,49
2,2,Personal Loan,2025-10-27,5739.4,0.1318,36.0,D,3879.09,Current,Active,9
3,3,Credit Card,2025-08-10,16401.31,0.1663,,B,5727.66,Current,Active,11
4,4,Auto Loan,2025-10-28,28437.45,0.0594,36.0,B,21897.47,Current,Active,9
5,4,Credit Card,2023-09-18,14962.28,0.1991,,A,3405.85,Current,Active,34
6,5,Personal Loan,2024-11-13,7474.27,0.1719,24.0,E,1180.68,30-59 DPD,Active,20
7,7,Mortgage,2025-06-30,596305.72,0.0668,360.0,C,522155.96,90+ DPD,Charged Off,13
8,7,Credit Card,2023-11-18,15595.81,0.2106,,C,9611.12,30-59 DPD,Active,32
9,8,Mortgage,2024-11-30,150943.78,0.0452,240.0,A,131587.78,Current,Active,20
10,9,Personal Loan,2025-10-23,19710.36,0.1636,36.0,C,14956.03,Current,Active,9
11,9,Auto Loan,2025-05-22,25089.39,0.089,36.0,C,15485.19,Current,Active,14
12,11,Auto Loan,2023-01-22,41755.0,0.0553,60.0,A,12329.71,Current,Active,42
13,12,Personal Loan,2024-07-14,11544.2,0.1116,48.0,C,5239.24,Current,Active,24
14,13,Auto Loan,2024-07-09,37894.15,0.0526,60.0,D,23310.69,Current,Active,24
15,13,Mortgage,2025-07-12,551903.42,0.048,180.0,A,509179.69,Current,Active,12
16,14,Personal Loan,2026-01-15,7588.37,0.1111,24.0,A,5816.38,Current,Active,6
17,14,Personal Loan,2024-04-30,24758.22,0.0964,24.0,A,0.0,Current,Paid Off,27
18,15,Credit Card,2024-09-04,8062.57,0.2302,,A,1960.67,Current,Active,22
19,15,Auto Loan,2023-07-19,22413.74,0.0929,36.0,A,0.0,Current,Paid Off,36
20,16,Auto Loan,2023-12-18,29184.66,0.0612,48.0,C,11935.72,90+ DPD,Charged Off,31
21,17,Mortgage,2022-11-10,124094.57,0.0592,360.0,B,108515.13,Current,Active,44
22,19,Auto Loan,2022-10-16,36437.85,0.0702,48.0,E,21068.33,90+ DPD,Charged Off,45
23,20,Credit Card,2026-04-06,12413.23,0.2573,,C,5160.95,Current,Active,3
24,20,Credit Card,2026-02-02,3121.37,0.2035,,B,2293.13,Current,Active,5
25,20,Credit Card,2022-09-30,17054.61,0.1701,,C,4852.31,Current,Active,46
26,22,Auto Loan,2022-10-17,15878.36,0.1087,60.0,C,15078.81,90+ DPD,Charged Off,45
27,23,Mortgage,2026-01-07,579935.64,0.0667,180.0,C,511089.2,Current,Active,6
28,23,Credit Card,2026-02-27,10412.55,0.1967,,A,1624.92,Current,Active,5
29,24,Personal Loan,2024-03-23,5811.22,0.1867,48.0,D,2481.29,Current,Active,28
30,25,Credit Card,2022-07-01,5943.55,0.2535,,D,1958.59,Current,Active,48
31,26,Credit Card,2026-05-15,6738.91,0.2288,,D,1438.09,30-59 DPD,Active,2
32,27,Personal Loan,2022-12-22,6212.42,0.1002,24.0,A,0.0,Current,Paid Off,43
33,29,Mortgage,2024-06-03,273560.34,0.0508,240.0,A,222555.34,Current,Active,25
34,29,Personal Loan,2022-04-13,4988.2,0.1436,48.0,B,0.0,Current,Paid Off,51
35,31,Auto Loan,2022-02-05,25342.53,0.0744,60.0,B,2978.93,Current,Active,53
36,32,Credit Card,2022-07-19,6845.98,0.1782,,D,5670.07,Current,Active,48
37,32,Auto Loan,2024-08-09,12540.6,0.0798,60.0,E,5840.65,90+ DPD,Charged Off,23
38,35,Credit Card,2022-03-01,19788.74,0.2431,,C,14773.27,Current,Active,52
39,35,Auto Loan,2022-02-15,28790.64,0.0683,72.0,C,7247.34,Current,Active,53
40,35,Mortgage,2022-10-01,371789.67,0.0653,180.0,B,291187.55,Current,Active,45
41,36,Credit Card,2024-01-09,12485.99,0.2133,,C,3256.3,Current,Active,30
42,36,Personal Loan,2024-07-27,5747.0,0.1038,36.0,C,3851.39,90+ DPD,Charged Off,24
43,37,Auto Loan,2024-01-21,8381.36,0.0588,48.0,D,2845.38,Current,Active,30
44,37,Credit Card,2024-11-29,4958.37,0.2501,,C,1583.79,Current,Active,20
45,38,Auto Loan,2023-05-06,15463.41,0.0678,60.0,A,5325.69,Current,Active,38
46,38,Auto Loan,2023-08-15,21784.42,0.0905,48.0,A,6097.63,Current,Active,35
47,39,Personal Loan,2025-12-15,18710.18,0.1683,48.0,E,15519.4,90+ DPD,Charged Off,7
48,39,Auto Loan,2023-03-13,13673.38,0.0713,48.0,E,2290.84,Current,Active,40
49,40,Mortgage,2024-09-24,447942.51,0.0614,360.0,B,379691.41,Current,Active,22
50,40,Personal Loan,2022-09-12,16230.33,0.1692,48.0,B,806.01,Current,Active,46
51,41,Mortgage,2026-03-04,360428.88,0.0723,360.0,D,239418.27,90+ DPD,Charged Off,4
52,42,Personal Loan,2026-03-28,24728.09,0.1461,36.0,D,8884.88,90+ DPD,Charged Off,4
53,42,Auto Loan,2024-12-17,42867.82,0.0593,48.0,B,25407.05,Current,Active,19
54,42,Credit Card,2024-02-26,3617.81,0.2265,,A,2912.04,Current,Active,29
55,44,Credit Card,2025-08-01,10096.66,0.257,,B,3299.89,Current,Active,11
56,45,Credit Card,2023-01-07,3163.88,0.2451,,C,870.4,Current,Active,42
57,45,Auto Loan,2024-03-26,20597.33,0.0744,36.0,C,4722.33,Current,Active,28
58,48,Personal Loan,2022-01-26,7402.95,0.1183,24.0,C,0.0,Current,Paid Off,54
59,49,Auto Loan,2024-04-08,15379.75,0.0652,72.0,E,10037.59,Current,Active,27
60,49,Credit Card,2025-06-06,11114.61,0.1962,,D,2235.63,30-59 DPD,Active,13
61,51,Credit Card,2022-02-03,13429.99,0.1606,,B,4555.13,Current,Active,53
62,52,Credit Card,2023-10-28,17395.4,0.1661,,C,10989.93,Current,Active,33
63,52,Auto Loan,2022-09-14,36955.77,0.069,36.0,C,0.0,Current,Paid Off,46
64,52,Credit Card,2022-05-18,19565.81,0.2456,,C,10484.2,Current,Active,50
65,53,Mortgage,2025-08-03,223827.73,0.0561,360.0,B,208266.91,60-89 DPD,Active,11
66,53,Auto Loan,2024-11-20,25588.01,0.0688,72.0,A,17395.17,Current,Active,20
67,55,Credit Card,2025-07-05,1262.62,0.2025,,B,667.79,Current,Active,12
68,56,Credit Card,2025-01-05,14126.39,0.1699,,B,3115.44,Current,Active,18
69,56,Auto Loan,2022-04-06,41376.74,0.1022,72.0,C,12471.12,30-59 DPD,Active,51
70,57,Credit Card,2024-12-26,18578.54,0.2113,,C,8911.28,90+ DPD,Charged Off,19
71,57,Mortgage,2022-05-17,619461.68,0.0518,240.0,A,453584.18,Current,Active,50
72,58,Personal Loan,2025-04-26,11904.14,0.1614,24.0,B,4581.45,Current,Active,15
73,59,Personal Loan,2024-07-15,10248.3,0.0957,48.0,B,5030.53,Current,Active,24
74,59,Personal Loan,2023-11-17,8263.55,0.1373,24.0,A,0.0,Current,Paid Off,32
75,62,Credit Card,2025-09-27,16331.15,0.197,,B,9309.51,Current,Active,10
76,63,Personal Loan,2023-03-15,24444.69,0.1625,36.0,C,0.0,Current,Paid Off,40
77,64,Auto Loan,2026-01-09,35870.89,0.1088,72.0,B,31419.73,Current,Active,6
78,65,Personal Loan,2024-02-21,16617.08,0.1864,24.0,A,0.0,Current,Paid Off,29
79,66,Auto Loan,2025-05-03,16847.69,0.0996,36.0,A,10029.41,Current,Active,14
80,66,Mortgage,2023-03-17,560196.13,0.0484,360.0,B,488990.13,30-59 DPD,Active,40
81,67,Credit Card,2022-04-24,7979.23,0.1618,,B,2387.5,Current,Active,51
82,68,Mortgage,2025-09-11,284492.26,0.0563,360.0,B,268431.25,Current,Active,10
83,69,Credit Card,2026-04-30,10235.22,0.206,,E,6056.07,60-89 DPD,Active,3
84,69,Auto Loan,2025-01-23,15615.37,0.0651,60.0,D,10198.18,Current,Active,18
85,70,Credit Card,2023-02-27,11224.73,0.1987,,C,6661.44,Current,Active,41
86,71,Credit Card,2025-12-04,10563.85,0.1752,,B,8813.62,Current,Active,7
87,71,Personal Loan,2025-10-30,18928.23,0.1753,48.0,C,16105.1,90+ DPD,Active,9
88,72,Mortgage,2023-02-16,160297.81,0.0478,180.0,E,123460.67,90+ DPD,Active,41
89,72,Auto Loan,2024-01-08,28362.44,0.0878,60.0,E,14470.45,30-59 DPD,Active,30
90,72,Auto Loan,2025-12-29,28670.62,0.0754,48.0,D,22086.08,Current,Active,7
91,73,Personal Loan,2025-02-22,8157.63,0.1527,24.0,A,2280.28,Current,Active,17
92,74,Credit Card,2023-04-26,6476.27,0.2514,,B,2238.87,Current,Active,39
93,74,Credit Card,2025-08-13,6070.81,0.1831,,A,2923.36,Current,Active,11
94,75,Mortgage,2024-05-01,213634.44,0.0563,360.0,E,186993.23,90+ DPD,Charged Off,26
95,76,Auto Loan,2024-09-22,11395.2,0.0516,72.0,A,7920.04,Current,Active,22
96,76,Credit Card,2025-03-16,15777.07,0.2431,,A,7907.51,Current,Active,16
97,76,Mortgage,2024-04-05,133467.76,0.0583,180.0,A,106589.37,Current,Active,27
98,78,Personal Loan,2025-07-10,7042.64,0.0918,48.0,D,5472.96,Current,Active,12
99,78,Auto Loan,2023-10-17,31137.28,0.0733,36.0,A,2559.74,30-59 DPD,Active,33
100,78,Auto Loan,2024-07-18,22897.0,0.077,60.0,B,14276.77,60-89 DPD,Active,24
101,80,Credit Card,2022-02-18,18355.81,0.256,,A,6413.5,Current,Active,53
102,80,Mortgage,2023-05-07,417468.27,0.0645,240.0,C,323198.34,Current,Active,38
103,80,Auto Loan,2023-01-26,31412.37,0.1058,36.0,A,0.0,Current,Paid Off,42
104,81,Credit Card,2024-02-24,2737.2,0.1687,,B,1834.03,Current,Active,29
105,83,Mortgage,2024-06-16,619891.64,0.064,240.0,C,319485.08,90+ DPD,Charged Off,25
