payment_id,loan_id,payment_month,scheduled_payment,actual_payment,days_past_due,on_time_flag
1,1,2024-08-01,,,0,1
2,1,2024-09-01,,,0,1
3,1,2024-10-01,,,0,1
4,1,2024-11-01,,,0,1
5,1,2024-12-01,,,0,1
6,1,2025-01-01,,,0,1
7,1,2025-02-01,,,0,1
8,1,2025-03-01,,,0,1
9,1,2025-04-01,,,0,1
10,1,2025-05-01,,,0,1
11,1,2025-06-01,,,0,1
12,1,2025-07-01,,,0,1
13,1,2025-08-01,,,0,1
14,1,2025-09-01,,,0,1
15,1,2025-10-01,,,0,1
16,1,2025-11-01,,,0,1
17,1,2025-12-01,,,0,1
18,1,2026-01-01,,,0,1
19,1,2026-02-01,,,0,1
20,1,2026-03-01,,,0,1
21,1,2026-04-01,,,0,1
22,1,2026-05-01,,,0,1
23,1,2026-06-01,,,0,1
24,1,2026-07-01,,,0,1
25,2,2025-10-01,161.18,161.18,0,1
26,2,2025-11-01,161.18,161.18,0,1
27,2,2025-12-01,161.18,161.18,15,0
28,2,2026-01-01,161.18,161.18,0,1
29,2,2026-02-01,161.18,161.18,0,1
30,2,2026-03-01,161.18,161.18,0,1
31,2,2026-04-01,161.18,161.18,0,1
32,2,2026-05-01,161.18,161.18,0,1
33,2,2026-06-01,161.18,161.18,15,0
34,2,2026-07-01,161.18,161.18,30,0
35,3,2025-08-01,,,0,1
36,3,2025-09-01,,,0,1
37,3,2025-10-01,,,0,1
38,3,2025-11-01,,,0,1
39,3,2025-12-01,,,0,1
40,3,2026-01-01,,,0,1
41,3,2026-02-01,,,0,1
42,3,2026-03-01,,,0,1
43,3,2026-04-01,,,0,1
44,3,2026-05-01,,,0,1
45,3,2026-06-01,,,0,1
46,3,2026-07-01,,,45,0
47,4,2025-10-01,793.84,793.84,0,1
48,4,2025-11-01,793.84,793.84,0,1
49,4,2025-12-01,793.84,793.84,0,1
50,4,2026-01-01,793.84,793.84,0,1
51,4,2026-02-01,793.84,793.84,0,1
52,4,2026-03-01,793.84,793.84,0,1
53,4,2026-04-01,793.84,793.84,0,1
54,4,2026-05-01,793.84,793.84,0,1
55,4,2026-06-01,793.84,793.84,0,1
56,4,2026-07-01,793.84,793.84,0,1
57,5,2024-08-01,,,0,1
58,5,2024-09-01,,,0,1
59,5,2024-10-01,,,0,1
60,5,2024-11-01,,,0,1
