payment_month,payments_due,late_rate_pct,serious_delinquency_rate_pct,mom_change_pct_pts,late_rate_3mo_avg
2024-08-01,3808,9.72,1.89,,9.72
2024-09-01,3936,9.32,1.8,-0.4,9.52
2024-10-01,4051,9.21,1.97,-0.11,9.42
2024-11-01,4171,8.92,1.73,-0.29,9.15
2024-12-01,4287,9.59,1.96,0.67,9.24
2025-01-01,4396,9.55,1.62,-0.04,9.35
2025-02-01,4490,9.91,1.98,0.36,9.68
2025-03-01,4596,9.09,1.89,-0.82,9.52
2025-04-01,4701,9.49,2.11,0.4,9.5
2025-05-01,4819,9.55,1.7,0.06,9.38
2025-06-01,4953,9.02,1.84,-0.53,9.35
2025-07-01,5102,9.64,1.8,0.62,9.4
2025-08-01,5233,8.79,1.87,-0.85,9.15
2025-09-01,5353,9.36,1.72,0.57,9.26
2025-10-01,5480,8.87,1.68,-0.49,9.01
2025-11-01,5599,8.98,1.66,0.11,9.07
2025-12-01,5709,8.95,1.75,-0.03,8.93
2026-01-01,5825,8.64,1.87,-0.31,8.86
2026-02-01,5929,8.72,2.04,0.08,8.77
2026-03-01,6057,8.77,1.92,0.05,8.71
2026-04-01,6169,8.72,1.51,-0.05,8.74
2026-05-01,6280,9.33,2.25,0.61,8.94
2026-06-01,6280,8.92,1.78,-0.41,8.99
2026-07-01,6280,9.41,1.82,0.49,9.22
