risk_grade,payment_month,late_rate_pct
A,2024-08-01,3.05
A,2024-09-01,2.84
A,2024-10-01,1.48
A,2024-11-01,1.51
A,2024-12-01,1.75
A,2025-01-01,1.88
A,2025-02-01,2.28
A,2025-03-01,1.37
A,2025-04-01,2.94
A,2025-05-01,2.64
A,2025-06-01,1.93
A,2025-07-01,2.48
A,2025-08-01,1.5
A,2025-09-01,1.54
A,2025-10-01,1.79
A,2025-11-01,2.52
A,2025-12-01,2.07
A,2026-01-01,2.03
A,2026-02-01,2.26
A,2026-03-01,1.89
A,2026-04-01,1.47
A,2026-05-01,1.95
A,2026-06-01,1.82
A,2026-07-01,1.88
B,2024-08-01,5.13
B,2024-09-01,4.79
B,2024-10-01,4.52
B,2024-11-01,3.99
B,2024-12-01,6.01
B,2025-01-01,4.73
B,2025-02-01,5.34
B,2025-03-01,5.4
B,2025-04-01,5.19
B,2025-05-01,5.0
B,2025-06-01,4.57
B,2025-07-01,5.12
B,2025-08-01,4.77
B,2025-09-01,4.58
B,2025-10-01,4.31
B,2025-11-01,5.61
B,2025-12-01,5.62
B,2026-01-01,4.64
B,2026-02-01,4.88
B,2026-03-01,3.99
B,2026-04-01,4.55
B,2026-05-01,4.62
B,2026-06-01,4.32
B,2026-07-01,5.27
C,2024-08-01,10.41
C,2024-09-01,11.24
C,2024-10-01,11.63
C,2024-11-01,11.08
C,2024-12-01,12.37
C,2025-01-01,13.25
C,2025-02-01,10.8
C,2025-03-01,11.34
C,2025-04-01,11.82
C,2025-05-01,12.15
C,2025-06-01,11.67
C,2025-07-01,11.29
C,2025-08-01,12.12
C,2025-09-01,12.95
C,2025-10-01,10.19
C,2025-11-01,10.9
C,2025-12-01,9.94
C,2026-01-01,10.31
C,2026-02-01,9.63
C,2026-03-01,11.64
C,2026-04-01,10.59
C,2026-05-01,12.44
C,2026-06-01,11.6
C,2026-07-01,12.05
D,2024-08-01,22.15
D,2024-09-01,18.04
D,2024-10-01,20.69
D,2024-11-01,22.76
D,2024-12-01,18.63
D,2025-01-01,20.04
D,2025-02-01,20.69
D,2025-03-01,19.05
D,2025-04-01,18.56
D,2025-05-01,20.71
D,2025-06-01,20.03
D,2025-07-01,21.92
D,2025-08-01,18.4
D,2025-09-01,19.3
D,2025-10-01,21.38
D,2025-11-01,17.38
D,2025-12-01,19.81
D,2026-01-01,18.81
D,2026-02-01,19.55
D,2026-03-01,18.82
D,2026-04-01,21.54
D,2026-05-01,19.85
D,2026-06-01,21.45
D,2026-07-01,20.71
E,2024-08-01,34.58
E,2024-09-01,36.7
E,2024-10-01,34.39
E,2024-11-01,29.82
E,2024-12-01,32.77
E,2025-01-01,31.69
E,2025-02-01,41.67
E,2025-03-01,32.68
E,2025-04-01,33.08
E,2025-05-01,29.7
E,2025-06-01,29.41
E,2025-07-01,32.73
E,2025-08-01,28.78
E,2025-09-01,34.86
E,2025-10-01,34.04
E,2025-11-01,31.38
E,2025-12-01,31.08
E,2026-01-01,31.8
E,2026-02-01,32.69
E,2026-03-01,32.7
E,2026-04-01,28.48
E,2026-05-01,32.93
E,2026-06-01,27.44
E,2026-07-01,30.49
