customer_id,segment,credit_band,total_loan_balance,outreach_priority_tier
95,Mass Market,Good,1070830.39,1
1399,Mass Market,Fair,944599.47,1
440,Mass Market,Good,869936.86,1
2289,Mass Market,Good,841885.06,1
4072,Mass Market,Good,619903.9299999999,1
1572,Mass Market,Good,619292.55,1
2260,Mass Market,Good,608080.91,1
4051,Mass Market,Fair,596660.69,1
3074,Mass Market,Fair,595043.28,1
2288,Mass Market,Poor,588190.79,1
4306,Affluent,Fair,588104.13,1
4012,Mass Market,Good,583155.51,1
1417,Affluent,Good,571470.41,1
4795,Mass Market,Poor,569415.32,1
2719,Mass Market,Good,566080.9099999999,1
2690,Mass Market,Excellent,565163.44,1
272,Mass Market,Fair,564816.86,1
1748,Mass Market,Good,559127.1,1
2906,Mass Market,Good,552310.37,1
4392,Affluent,Excellent,550939.6599999999,1
953,Mass Market,Good,549366.7899999999,1
4649,Mass Market,Excellent,547464.56,1
3679,Mass Market,Excellent,543034.0,1
379,Mass Market,Fair,542055.91,1
13,Mass Market,Good,532490.38,1
