origination_quarter,months_on_book,cohort_size,cumulative_defaults,cumulative_default_rate_pct
2022-Q1,52,353,6,1.7
2022-Q1,53,353,16,4.53
2022-Q1,54,353,24,6.8
2022-Q2,49,365,8,2.19
2022-Q2,50,365,14,3.84
2022-Q2,51,365,22,6.03
2022-Q3,46,383,6,1.57
2022-Q3,47,383,21,5.48
2022-Q3,48,383,31,8.09
2022-Q4,43,343,16,4.66
2022-Q4,44,343,22,6.41
2022-Q4,45,343,35,10.2
2023-Q1,40,386,14,3.63
2023-Q1,41,386,26,6.74
2023-Q1,42,386,37,9.59
2023-Q2,37,359,12,3.34
2023-Q2,38,359,23,6.41
2023-Q2,39,359,34,9.47
2023-Q3,34,360,8,2.22
2023-Q3,35,360,22,6.11
2023-Q3,36,360,30,8.33
2023-Q4,31,345,14,4.06
2023-Q4,32,345,25,7.25
2023-Q4,33,345,38,11.01
2024-Q1,28,344,5,1.45
2024-Q1,29,344,14,4.07
2024-Q1,30,344,30,8.72
2024-Q2,25,334,11,3.29
2024-Q2,26,334,19,5.69
2024-Q2,27,334,33,9.88
2024-Q3,22,364,22,6.04
2024-Q3,23,364,33,9.07
2024-Q3,24,364,42,11.54
2024-Q4,19,351,14,3.99
2024-Q4,20,351,24,6.84
2024-Q4,21,351,35,9.97
2025-Q1,16,309,11,3.56
2025-Q1,17,309,22,7.12
2025-Q1,18,309,37,11.97
2025-Q2,13,357,15,4.2
2025-Q2,14,357,20,5.6
2025-Q2,15,357,27,7.56
2025-Q3,10,400,9,2.25
2025-Q3,11,400,12,3.0
2025-Q3,12,400,21,5.25
2025-Q4,7,356,12,3.37
2025-Q4,8,356,17,4.78
2025-Q4,9,356,21,5.9
2026-Q1,4,348,8,2.3
2026-Q1,5,348,10,2.87
2026-Q1,6,348,18,5.17
2026-Q2,2,223,5,2.24
2026-Q2,3,223,11,4.93
